A0 f*d (MHz*mm),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength/d (),A0 Wavenumber*d (rad),A0 Attenuation*d (Np/m*mm),A1 f*d (MHz*mm),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength/d (),A1 Wavenumber*d (rad),A1 Attenuation*d (Np/m*mm)
0.7554,2.13739209157115,3.05050898936906,32.7814146257222,9.23452241398836,2.82948383845797,2.22061183802479,0,2.364,7.06181283635281,3.61286201762287,27.6788871294333,2.78401427918117,2.98723047223046,2.10334802272158,0
0.756,2.13790020282117,3.05073717871372,32.7789626381919,9.23230846337764,2.82791032119203,2.22184743981948,0,2.3646,7.06010317480408,3.61315658559823,27.6766305669099,2.78468898220845,2.9857494607139,2.10439133954571,0
0.7566,2.13840783779685,3.05096484109093,32.7765166786528,9.23009765251647,2.82633867009893,2.2230829495602,0,2.3652,7.05839549220617,3.61345036707387,27.6743803958705,2.78536323092756,2.98427003729333,2.10543457149016,0
0.7572,2.13891499694463,3.05119197749976,32.7740767337567,9.22788997569722,2.82476888133205,2.22431836767357,0,2.3658,7.05668978455843,3.61374336285708,27.6721366071049,2.7860370260212,2.98279219906942,2.10647771880986,0
0.7578,2.13942168191966,3.05141858946942,32.7716427844756,9.22568542196596,2.82320095265197,2.22555369332725,0,2.3664,7.05498604872278,3.61403557343694,27.6698991938533,2.78671036783404,2.9813159435103,2.10752078150481,0
0.7584,2.13992789256128,3.05164467772709,32.7692148204101,9.22348398828544,2.82163487943207,2.2267889275753,0,2.367,7.05328427986073,3.61432699993478,27.6676681445271,2.78738325738554,2.97984126736829,2.10856376008536,0
0.759,2.14043362931353,3.05187024326488,32.7667928283282,9.22128566899685,2.82007065785708,2.22802407084156,0,2.3676,7.05158447484936,3.61461764283722,27.665443452411,2.78805569501994,2.97836816812357,2.10960665455209,0
0.7596,2.14093889382581,3.05209528760195,32.7643767893534,9.21909045321727,2.81850828571065,2.22925912229326,0,2.3682,7.04988662886919,3.61490750326245,27.6632251059675,2.78872768175539,2.97689664254252,2.11064946541551,0
0.7602,2.14144368593676,3.05231981146008,32.7619666931837,9.21689833794678,2.81694775840142,2.23049408298052,0,2.3688,7.04819073881237,3.61519658169465,27.6610130985254,2.78939921793568,2.97542668811735,2.1116921926768,0
0.7608,2.14194800608805,3.05254381582446,32.7595625267024,9.21470931757496,2.81538907214518,2.23172895332443,0,2.3694,7.04649680072747,3.61548487893289,27.658807421016,2.79007030424117,2.97395830198678,2.11273483659205,0
0.7614,2.14245185532215,3.05276730194132,32.757164274004,9.21252338389688,2.8138322239587,2.23296373311837,0,2.37,7.04480481067152,3.61577239577488,27.6566080643938,2.79074094135174,2.972491481296,2.11377739741751,0
0.762,2.14295523407879,3.05299027079082,32.754771922053,9.21034053133697,2.81227721007715,2.23419842278181,0,2.3706,7.04311476471001,3.61605913301695,27.6544150196372,2.79141112994686,2.97102622319666,2.11481987540966,0
0.7626,2.14345814339734,3.05321272361318,32.7523854550363,9.20816075173239,2.81072402753389,2.23543302210727,0,2.3712,7.04142665891683,3.61634509145402,27.652228277748,2.79208087070553,2.96956252484684,2.11586227082511,0
0.7632,2.14396058371561,3.05343466138356,32.7500048599986,9.20598403954216,2.80917267258334,2.23666753151258,0,2.3718,7.03974048852908,3.61663027219502,27.6500478273406,2.7927501646419,2.96810038305468,2.11690458417485,0
0.7638,2.14446255547096,3.05365608507529,32.7476301240171,9.20381038923825,2.80762314149117,2.23790195141449,0,2.3724,7.03805625132783,3.61691467540163,27.6478736642842,2.79341901176311,2.96663979570386,2.11794681520776,0
0.7644,2.14496405910036,3.05387699565984,32.7452612342015,9.2016397953055,2.80607543053423,2.23913628222866,0,2.373,7.0363739425669,3.61719830217983,27.6457057772412,2.79408741308224,2.96518075961521,2.11898896443499,0
